================================================
  NLOC    CCN   token  PARAM  length  location
      8       0.0     0.0        0.0         0     .\src\codes\result1582108638664.py
     25       7.0     2.0       59.0         1     .\src\codes\result1582108753768.py
     32      11.0     2.0       74.0         1     .\src\codes\result1582109050768.py
     29      11.0     2.0       74.0         1     .\src\codes\result1582109114002.py
      7       0.0     0.0        0.0         0     .\src\codes\result1582109880524.py
     22       2.0     1.0       10.0         1     .\src\codes\result1582110715744.py
     19       0.0     0.0        0.0         0     .\src\codes\result1582112372494.py
     36       6.7     3.3       43.7         3     .\src\codes\result1582112669477.py
      7       0.0     0.0        0.0         0     .\src\codes\result1582112720265.py
     36       6.7     3.3       43.7         3     .\src\codes\result1582113162132.py
      4       0.0     0.0        0.0         0     .\src\codes\result1582113447921.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582113485618.py
      6       0.0     0.0        0.0         0     .\src\codes\result1582114305327.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582115241761.py
      2       0.0     0.0        0.0         0     .\src\codes\result1582116164636.py
     10       7.0     2.0       47.0         1     .\src\codes\result1582118739766.py
     31      25.0     9.0      161.0         1     .\src\codes\result1582119325251.py
      6       0.0     0.0        0.0         0     .\src\codes\result1582119569075.py
      7       5.0     2.0       36.0         1     .\src\codes\result1582120038967.py
      7       5.0     2.0       36.0         1     .\src\codes\result1582120103869.py
      9       0.0     0.0        0.0         0     .\src\codes\result1582120305722.py
      2       0.0     0.0        0.0         0     .\src\codes\result1582120794530.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582120823072.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582120858508.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582120871897.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582121003937.py
     18       0.0     0.0        0.0         0     .\src\codes\result1582122585902.py
     19       7.5     3.0       41.5         2     .\src\codes\result1582124096684.py
     16       6.0     2.0       35.5         2     .\src\codes\result1582124152545.py
     16       0.0     0.0        0.0         0     .\src\codes\result1582125349012.py
     17       0.0     0.0        0.0         0     .\src\codes\result1582126011884.py
      7       0.0     0.0        0.0         0     .\src\codes\result1582127193580.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582127336679.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582127416398.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582127547674.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582127639764.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582127698702.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582127839118.py
      6       0.0     0.0        0.0         0     .\src\codes\result1582128075618.py
      6       0.0     0.0        0.0         0     .\src\codes\result1582128792295.py
     28       6.7     2.7       41.7         3     .\src\codes\result1582129673689.py
      2       0.0     0.0        0.0         0     .\src\codes\result1582129778704.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582129854851.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582130531668.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582130695139.py
     15       7.0     5.0       84.0         1     .\src\codes\result1582131360548.py
      4       0.0     0.0        0.0         0     .\src\codes\result1582132546231.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582133879871.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582134222933.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582134232800.py
     34      10.0     5.5       92.5         2     .\src\codes\result1582136225429.py
     30       8.0     5.5       84.5         2     .\src\codes\result1582136244428.py
